Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Аккумуляторный шуруповерт MAKITA TD 110 DZ ударный без АКБ и ЗУ [TD110DZ];105374;4502.0;10.8;110.0;;;1.1;;Сверление/заворачивание/сверлениесударом;щеточный;профессиональный;2600;;2600;;
Аккумуляторная дрель-шуруповерт MAKITA DHP 485 Z ударная, бесщеточная, без АКБ и ЗУ [DHP485Z];131127;10773.0;18.0;50.0;13;36;1.7;;Сверление/сверлениесударом;бесщеточный;профессиональный;500;1900;500;1900;1.5
Аккумуляторная дрель-шуруповерт PATRIOT BR 181 UES [180201481];145474;6390.0;18.0;29.0;;;;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Отвертка аккумуляторная ИНТЕРСКОЛ ОА-3.6 Ф ДМ (кейс) [433.0.1.00];173028;2890.0;3.6;5.0;;;0.5;1.3;;;;;;;;
Дрель-шуруповерт аккумуляторная BOSCH GSR 185-LI без АКБ и ЗУ [06019K3003];247628;8023.0;18.0;;10;35;;;;;;500;1900;;;
Аккумуляторный шуруповерт DeWALT DCD710C2 [DCD710C2-KS];90547;14900.0;12.0;24.0;10;19;1.1;1.3;Сверление;щеточный;профессиональный;400;1500;400;1500;1.3
Аккумуляторный шуруповерт MAKITA DDF 482 Z без АКБ и ЗУ [DDF482Z];129141;10100.0;18.0;62.0;13;38;1.7;;Сверление;щеточный;профессиональный;600;1900;600;1900;1.0
Дрель-шуруповерт аккумуляторная DEKO DKCD20 Black Edition set 3 в кейсе + набор 63 пр. [063-4050];213488;4892.0;20.0;40.0;11;26;1.76;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.9
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 + оснастка 13 шт. (063-4140) [063-4140];169034;3156.0;12.0;32.0;10;25;1.8;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Аккумуляторная дрель-шуруповерт MAKITA DTD 153 Z ударный, бесщеточный, без АКБ и ЗУ [DTD153Z];111554;8957.0;18.0;170.0;;;1.3;;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;3400;;3400;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -13/18 ВК (2х1.5 Ач) [575.1.2.70];171113;10390.0;18.0;45.0;13;36;1.6;1.5;Сверление/заворачивание;бесщеточный;профессиональный;400;1700;400;1700;1.5
Аккумуляторный шуруповерт MAKITA TD022DSE;114481;15690.0;7.2;25.0;;;0.56;1.5;Заворачиваниешурупов;щеточный;профессиональный;2450;;2450;;
